Sample;Study;Type
SRR7658584;Madagascar;Non Westernized Human
SRR7658585;Madagascar;Non Westernized Human
SRR7658586;Madagascar;Non Westernized Human
SRR7658587;Madagascar;Non Westernized Human
SRR7658588;Madagascar;Non Westernized Human
SRR7658589;Madagascar;Non Westernized Human
SRR7658590;Madagascar;Non Westernized Human
SRR7658591;Madagascar;Non Westernized Human
SRR7658592;Madagascar;Non Westernized Human
SRR7658593;Madagascar;Non Westernized Human
SRR7658594;Madagascar;Non Westernized Human
SRR7658595;Madagascar;Non Westernized Human
SRR7658597;Madagascar;Non Westernized Human
SRR7658598;Madagascar;Non Westernized Human
SRR7658599;Madagascar;Non Westernized Human
SRR7658600;Madagascar;Non Westernized Human
SRR7658601;Madagascar;Non Westernized Human
SRR7658602;Madagascar;Non Westernized Human
SRR7658603;Madagascar;Non Westernized Human
SRR7658604;Madagascar;Non Westernized Human
SRR7658605;Madagascar;Non Westernized Human
SRR7658606;Madagascar;Non Westernized Human
SRR7658607;Madagascar;Non Westernized Human
SRR7658608;Madagascar;Non Westernized Human
SRR7658609;Madagascar;Non Westernized Human
SRR7658610;Madagascar;Non Westernized Human
SRR7658611;Madagascar;Non Westernized Human
SRR7658612;Madagascar;Non Westernized Human
SRR7658613;Madagascar;Non Westernized Human
SRR7658614;Madagascar;Non Westernized Human
SRR7658615;Madagascar;Non Westernized Human
SRR7658616;Madagascar;Non Westernized Human
SRR7658617;Madagascar;Non Westernized Human
SRR7658618;Madagascar;Non Westernized Human
SRR7658619;Madagascar;Non Westernized Human
SRR7658620;Madagascar;Non Westernized Human
SRR7658621;Madagascar;Non Westernized Human
SRR7658622;Madagascar;Non Westernized Human
SRR7658623;Madagascar;Non Westernized Human
SRR7658624;Madagascar;Non Westernized Human
SRR7658625;Madagascar;Non Westernized Human
SRR7658626;Madagascar;Non Westernized Human
SRR7658627;Madagascar;Non Westernized Human
SRR7658628;Madagascar;Non Westernized Human
SRR7658629;Madagascar;Non Westernized Human
SRR7658630;Madagascar;Non Westernized Human
SRR7658631;Madagascar;Non Westernized Human
SRR7658632;Madagascar;Non Westernized Human
SRR7658633;Madagascar;Non Westernized Human
SRR7658634;Madagascar;Non Westernized Human
SRR7658635;Madagascar;Non Westernized Human
SRR7658636;Madagascar;Non Westernized Human
SRR7658637;Madagascar;Non Westernized Human
SRR7658638;Madagascar;Non Westernized Human
SRR7658639;Madagascar;Non Westernized Human
SRR7658640;Madagascar;Non Westernized Human
SRR7658641;Madagascar;Non Westernized Human
SRR7658642;Madagascar;Non Westernized Human
SRR7658643;Madagascar;Non Westernized Human
SRR7658644;Madagascar;Non Westernized Human
SRR7658645;Madagascar;Non Westernized Human
SRR7658647;Madagascar;Non Westernized Human
SRR7658648;Madagascar;Non Westernized Human
SRR7658649;Madagascar;Non Westernized Human
SRR7658650;Madagascar;Non Westernized Human
SRR7658651;Madagascar;Non Westernized Human
SRR7658652;Madagascar;Non Westernized Human
SRR7658653;Madagascar;Non Westernized Human
SRR7658654;Madagascar;Non Westernized Human
SRR7658655;Madagascar;Non Westernized Human
SRR7658656;Madagascar;Non Westernized Human
SRR7658657;Madagascar;Non Westernized Human
SRR7658658;Madagascar;Non Westernized Human
SRR7658659;Madagascar;Non Westernized Human
SRR7658660;Madagascar;Non Westernized Human
SRR7658661;Madagascar;Non Westernized Human
SRR7658662;Madagascar;Non Westernized Human
SRR7658663;Madagascar;Non Westernized Human
SRR7658664;Madagascar;Non Westernized Human
SRR7658665;Madagascar;Non Westernized Human
SRR7658666;Madagascar;Non Westernized Human
SRR7658667;Madagascar;Non Westernized Human
SRR7658668;Madagascar;Non Westernized Human
SRR7658669;Madagascar;Non Westernized Human
SRR7658670;Madagascar;Non Westernized Human
SRR7658671;Madagascar;Non Westernized Human
SRR7658672;Madagascar;Non Westernized Human
SRR7658673;Madagascar;Non Westernized Human
SRR7658674;Madagascar;Non Westernized Human
SRR7658675;Madagascar;Non Westernized Human
SRR7658676;Madagascar;Non Westernized Human
SRR7658677;Madagascar;Non Westernized Human
SRR7658678;Madagascar;Non Westernized Human
SRR7658679;Madagascar;Non Westernized Human
SRR7658680;Madagascar;Non Westernized Human
SRR7658681;Madagascar;Non Westernized Human
SRR7658682;Madagascar;Non Westernized Human
SRR7658683;Madagascar;Non Westernized Human
SRR7658684;Madagascar;Non Westernized Human
SRR7658685;Madagascar;Non Westernized Human
SRR7658686;Madagascar;Non Westernized Human
SRR7658687;Madagascar;Non Westernized Human
SRR7658688;Madagascar;Non Westernized Human
SRR7658689;Madagascar;Non Westernized Human
SRR7658690;Madagascar;Non Westernized Human
ERR2402780 ;Canis familiaris;Canis familiaris
ERR1916139 ;Canis familiaris;Canis familiaris
ERR1915048 ;Canis familiaris;Canis familiaris
ERR1914553 ;Canis familiaris;Canis familiaris
ERR1913614 ;Canis familiaris;Canis familiaris
ERR1915578 ;Canis familiaris;Canis familiaris
ERR1915612 ;Canis familiaris;Canis familiaris
ERR2402795 ;Canis familiaris;Canis familiaris
ERR1914224 ;Canis familiaris;Canis familiaris
ERR1914439 ;Canis familiaris;Canis familiaris
ERR1916229 ;Canis familiaris;Canis familiaris
ERR1916299 ;Canis familiaris;Canis familiaris
ERR1915064 ;Canis familiaris;Canis familiaris
ERR1913387 ;Canis familiaris;Canis familiaris
ERR1916180 ;Canis familiaris;Canis familiaris
ERR1914213 ;Canis familiaris;Canis familiaris
ERR1915782 ;Canis familiaris;Canis familiaris
ERR1915757 ;Canis familiaris;Canis familiaris
ERR1915745 ;Canis familiaris;Canis familiaris
ERR2402765 ;Canis familiaris;Canis familiaris
ERR1914424 ;Canis familiaris;Canis familiaris
ERR1915382 ;Canis familiaris;Canis familiaris
ERR1914696 ;Canis familiaris;Canis familiaris
ERR1914185 ;Canis familiaris;Canis familiaris
ERR1916312 ;Canis familiaris;Canis familiaris
ERR1915102 ;Canis familiaris;Canis familiaris
ERR1916240 ;Canis familiaris;Canis familiaris
ERR1913401 ;Canis familiaris;Canis familiaris
ERR1913556 ;Canis familiaris;Canis familiaris
ERR1913830 ;Canis familiaris;Canis familiaris
ERR1914111 ;Canis familiaris;Canis familiaris
ERR1915611 ;Canis familiaris;Canis familiaris
ERR2402760 ;Canis familiaris;Canis familiaris
ERR1913948 ;Canis familiaris;Canis familiaris
ERR1916170 ;Canis familiaris;Canis familiaris
ERR1914997 ;Canis familiaris;Canis familiaris
ERR1913372 ;Canis familiaris;Canis familiaris
ERR1915012 ;Canis familiaris;Canis familiaris
ERR1914307 ;Canis familiaris;Canis familiaris
ERR1915410 ;Canis familiaris;Canis familiaris
ERR1914292 ;Canis familiaris;Canis familiaris
ERR1913950 ;Canis familiaris;Canis familiaris
ERR1915140 ;Canis familiaris;Canis familiaris
ERR1914441 ;Canis familiaris;Canis familiaris
ERR2402772 ;Canis familiaris;Canis familiaris
ERR1915197 ;Canis familiaris;Canis familiaris
ERR1915293 ;Canis familiaris;Canis familiaris
ERR1915590 ;Canis familiaris;Canis familiaris
ERR1913963 ;Canis familiaris;Canis familiaris
ERR1915367 ;Canis familiaris;Canis familiaris
ERR1915453 ;Canis familiaris;Canis familiaris
ERR1914605 ;Canis familiaris;Canis familiaris
ERR1913829 ;Canis familiaris;Canis familiaris
ERR1914208 ;Canis familiaris;Canis familiaris
ERR1915563 ;Canis familiaris;Canis familiaris
ERR1915529 ;Canis familiaris;Canis familiaris
ERR1915186 ;Canis familiaris;Canis familiaris
ERR1913780 ;Canis familiaris;Canis familiaris
ERR1913389 ;Canis familiaris;Canis familiaris
ERR1914041 ;Canis familiaris;Canis familiaris
ERR1916189 ;Canis familiaris;Canis familiaris
ERR1914082 ;Canis familiaris;Canis familiaris
ERR1914107 ;Canis familiaris;Canis familiaris
ERR1915100 ;Canis familiaris;Canis familiaris
ERR1915317 ;Canis familiaris;Canis familiaris
ERR1914085 ;Canis familiaris;Canis familiaris
ERR1915103 ;Canis familiaris;Canis familiaris
ERR1915582 ;Canis familiaris;Canis familiaris
ERR1914207 ;Canis familiaris;Canis familiaris
ERR1913472 ;Canis familiaris;Canis familiaris
ERR1916042 ;Canis familiaris;Canis familiaris
ERR1913527 ;Canis familiaris;Canis familiaris
ERR1915380 ;Canis familiaris;Canis familiaris
ERR1913847 ;Canis familiaris;Canis familiaris
ERR1916193 ;Canis familiaris;Canis familiaris
ERR1915141 ;Canis familiaris;Canis familiaris
ERR1913608 ;Canis familiaris;Canis familiaris
ERR1914987 ;Canis familiaris;Canis familiaris
ERR1915022 ;Canis familiaris;Canis familiaris
ERR1915571 ;Canis familiaris;Canis familiaris
ERR1915376 ;Canis familiaris;Canis familiaris
ERR1915420 ;Canis familiaris;Canis familiaris
ERR1916078 ;Canis familiaris;Canis familiaris
ERR1914040 ;Canis familiaris;Canis familiaris
ERR1914985 ;Canis familiaris;Canis familiaris
ERR1915363 ;Canis familiaris;Canis familiaris
ERR1916218 ;Canis familiaris;Canis familiaris
ERR1915499 ;Canis familiaris;Canis familiaris
ERR1916302 ;Canis familiaris;Canis familiaris
ERR1915971 ;Canis familiaris;Canis familiaris
ERR1913391 ;Canis familiaris;Canis familiaris
ERR1915610 ;Canis familiaris;Canis familiaris
ERR1915253 ;Canis familiaris;Canis familiaris
ERR1914445 ;Canis familiaris;Canis familiaris
ERR1915455 ;Canis familiaris;Canis familiaris
ERR1913555 ;Canis familiaris;Canis familiaris
ERR1914944 ;Canis familiaris;Canis familiaris
ERR1913675 ;Canis familiaris;Canis familiaris
ERR1915320 ;Canis familiaris;Canis familiaris
ERR1915558 ;Canis familiaris;Canis familiaris
ERR1915838 ;Canis familiaris;Canis familiaris
ERR1913953 ;Canis familiaris;Canis familiaris
ERR1914611 ;Canis familiaris;Canis familiaris
ERR1915231 ;Canis familiaris;Canis familiaris
ERR1915539 ;Canis familiaris;Canis familiaris
ERR1915117 ;Canis familiaris;Canis familiaris
ERR1913805 ;Canis familiaris;Canis familiaris
ERR1914320 ;Canis familiaris;Canis familiaris
ERR1916166 ;Canis familiaris;Canis familiaris
ERR1913947 ;Canis familiaris;Canis familiaris
ERR1914667 ;Canis familiaris;Canis familiaris
ERR2402762 ;Canis familiaris;Canis familiaris
ERR1914430 ;Canis familiaris;Canis familiaris
ERR1916182 ;Canis familiaris;Canis familiaris
ERR1913944 ;Canis familiaris;Canis familiaris
ERR1915816 ;Canis familiaris;Canis familiaris
ERR1915229 ;Canis familiaris;Canis familiaris
ERR1913815 ;Canis familiaris;Canis familiaris
ERR1914932 ;Canis familiaris;Canis familiaris
ERR1915438 ;Canis familiaris;Canis familiaris
ERR1914088 ;Canis familiaris;Canis familiaris
ERR1913971 ;Canis familiaris;Canis familiaris
